ID,Name,State,AreaCode
1,Thiruvallur,Tamilnadu,1001
2,Chennai North,Tamilnadu,1002
3,Chennai South,Tamilnadu,1003
4,Chennai Central,Tamilnadu,1004
5,Sriperumbudur,Tamilnadu,1005
6,Kancheepuram,Tamilnadu,1006
7,Arakkonam,Tamilnadu,1007
8,Vellore,Tamilnadu,1008
9,Krishnagiri,Tamilnadu,1009
10,Dharmapuri,Tamilnadu,1010
11,Tiruvannamalai,Tamilnadu,1011
12,Arani,Tamilnadu,1012
13,Viluppuram,Tamilnadu,1013
14,Kallakurichi,Tamilnadu,1014
15,Salem,Tamilnadu,1015
16,Namakkal,Tamilnadu,1016
17,Erode,Tamilnadu,1017
18,Tiruppur,Tamilnadu,1018
19,Nilgiris,Tamilnadu,1019
20,Coimbatore,Tamilnadu,1020
21,Pollachi,Tamilnadu,1021
22,Dindigul,Tamilnadu,1022
23,Karur,Tamilnadu,1023
24,Tiruchirapalli,Tamilnadu,1024
25,Perambalur,Tamilnadu,1025
26,Cuddalore,Tamilnadu,1026
27,Chidambaram,Tamilnadu,1027
28,Mayiladuthurai,Tamilnadu,1028
29,Nagapattinam,Tamilnadu,1029
30,Thanjavur,Tamilnadu,1030
31,Sivaganga,Tamilnadu,1031
32,Madurai,Tamilnadu,1032
33,Theni,Tamilnadu,1033
34,Virudhunagar,Tamilnadu,1034
35,Ramanathapuram,Tamilnadu,1035
36,Thoothukudi,Tamilnadu,1036
37,Tenkasi,Tamilnadu,1037
38,Tirunelveli,Tamilnadu,1038
39,Kanniyakumari,Tamilnadu,1039
40,North Goa,Goa,1040
41,South Goa,Goa,1041
42,Chandni Chowk,Delhi,1042
43,North East Delhi,Delhi,1043
44,East Delhi,Delhi,1044
45,New Delhi,Delhi,1045
46,North West Delhi,Delhi,1046
47,West Delhi,Delhi,1047
48,South Delhi,Delhi,1048
49,Bellari,Madhya Pradesh,1049
